ticker,CORRELACAO_PEARSON,MSE,RMSE,MAE,MAPE,R2_SK,R2_SM,P_VALOR,fl_success
ABEV3.SA,0.9392938980234379,0.5498282726291206,0.7415040611008955,0.5870837461863849,0.04145915316178045,0.8222892083273317,0.8822730271049276,2.4600952448613182e-12,1
ALPA4.SA,0.9800554949794544,5.485764127124534,2.342170815103914,1.6722624163255624,0.049300610035007755,0.9516572515085894,0.9605087732340059,3.3461312342807425e-52,1
AMER3.SA,0.9932981486110714,22.90008290610094,4.785403108004689,3.4080661922481887,0.061871911216019565,0.973977349901765,0.9866412120854972,5.867158175070581e-32,1
ARZZ3.SA,0.984647921020821,9.78055221543011,3.1273874424877564,2.4518355268113154,0.03650512269039734,0.9648002299906872,0.9695315284020017,3.515150616600649e-41,1
AZUL4.SA,0.9682314692977789,11.43765437003703,3.3819601372631567,2.252256477301848,0.08910583798527257,0.9215028142566413,0.9374721783540148,0.11977714994444613,1
B3SA3.SA,0.9688172353458084,0.4195376635935135,0.647717271341064,0.5023343268861162,0.0358907834177659,0.9327205696661953,0.9386068357184091,8.84764790153147e-27,1
BBAS3.SA,0.9661533760586952,2.0805347208448968,1.4424058793713013,1.0219842843130125,0.03403841027951139,0.91922415399523,0.9334523459382239,2.0890763365898756e-06,1
BBDC3.SA,0.9575511300204637,0.3973481109144936,0.630355543256735,0.4659860462161666,0.02965377837393237,0.9130516221984264,0.9169041668801647,3.6946101136858947e-05,1
BBDC4.SA,0.9509671660089374,0.6262918037086955,0.791386001713889,0.5975961117034263,0.03332136859757109,0.8926522566763047,0.9043385506337999,3.3039186387503433e-10,1
BBSE3.SA,0.9616600977024037,0.8146369645970623,0.9025724151540763,0.6900741360711713,0.02982208464928144,0.9194037630500443,0.9247901436214782,0.0031494009040832203,1
BEEF3.SA,0.9783955854855609,0.40538820743854687,0.636701034582595,0.4947103980585193,0.04586697661798765,0.9026943661408684,0.9572579218011229,3.984193565233298e-67,1
BPAC11.SA,0.9548885937709268,4.299660254128498,2.073562213710623,1.616910577327647,0.07767347453327915,0.8403170001902953,0.9118122264310026,8.209529610416972e-79,1
BPAN4.SA,0.9859174992795317,1.3876181899465185,1.1779720667089346,0.7317663564749644,0.05996867548856385,0.9364516578049952,0.9720333154777512,2.7052502433549182e-142,1
BRAP4.SA,0.9842672945122658,5.443565106044533,2.333144896067223,1.6132068485232955,0.050480150231622695,0.9325937849930848,0.9687821071072819,2.3659396746000896e-96,1
BRFS3.SA,0.9683854864516493,1.7922069509081544,1.3387333382373632,0.9576156656792824,0.04927072362294814,0.9265069514608456,0.9377704502900722,1.0984213270438809e-13,1
BRKM5.SA,0.9863812870809248,5.524880398653289,2.350506413233814,1.6973502463482797,0.05417585073388188,0.9628876862790404,0.9729480434843313,1.4412989542606184e-22,1
BRML3.SA,0.9739585283510044,0.3385185696433414,0.5818234866721533,0.38477753375438933,0.039536879239921434,0.9397332631660622,0.9485952153249174,0.0003694611112973379,1
CCRO3.SA,0.9355541551145201,0.2569505135040944,0.5069028639730638,0.3567243941286777,0.028979177004554546,0.8725141893745573,0.8752615770507471,3.4308475836500503e-14,1
CIEL3.SA,0.973686886868378,0.07502716155351935,0.2739108642487905,0.20039249497947964,0.05533101505920226,0.9454024219632277,0.9480661534826571,0.00014146007482180383,1
CMIG4.SA,0.9889397778941863,0.12159305525143695,0.34870195762489914,0.24859496989148727,0.031205326960413032,0.9694577643431581,0.978001884342105,7.566048861918446e-55,1
